Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
Production bug,SMARTPAY-790,Error Limits locking failed causes manual processing of payments which are stuck in OPV,12/3/25,5.52h,235.88h,,,,,,,197.22h,18.37h,4.40h,,,,,,3523.78h,
,SMARTPAY-788,"[iBank] File import doesn't work properly, when there are defective payments",11/14/25,20.95h,,,,,,,,,,,,,,,,,3984.67h
Production bug,SMARTPAY-785,Gap for fraud in production - abusing limits with biometrics and small amounts,1/23/26,16.30h,,187.48h,72.95h,,,,,34.30h,795.13h,520.08h,,,,,,2399.77h,
Production bug,SMARTPAY-787,[iBank] Intrabank payments can't be executed when beneficiary name is updated,12/4/25,0.15h,20.57h,,137.40h,25.75h,,,,243.97h,67.45h,28.12h,,,,,,0.00h,3505.50h
Production bug,SMARTPAY-786,[sepa-exchange] Incoming instant return is not processed if payment is in dp_arh table,12/8/25,0.00h,20.77h,,,598.50h,,,,5.73h,,,,,,,,0.00h,3404.02h
,SMARTPAY-784,Spam SEPA payments from PAYPAL Europe,,1390.37h,,2658.67h,,,,,,,,,,,,,,,
,SMARTPAY-783,Not possible to correct uploaded Mass/Salary file payments,11/12/25,2.67h,,,,,,,,26.58h,,,,,,,,,4026.02h
,SMARTPAY-781,Not possible to save previously uploaded and edited Mass payment,11/13/25,69.67h,,,27.28h,,,,,6.10h,17.57h,26.12h,,,,,,4003.52h,
Production bug,SMARTPAY-780,iBank: SmartForm Instant payment failed,11/14/25,144.27h,,,,,,,,30.82h,,,,,,,,,3976.90h
,SMARTPAY-778,Update publishing to fraud.screening.requests Kafka topic - add fraud screening request SID to header,2/12/26,0.00h,1458.73h,750.18h,,0.00h,,,,18.62h,72.20h,0.67h,51.65h,,,,,1818.63h,
,SMARTPAY-777,Update publishing to status.report Kafka topic - add status report SID to header,2/16/26,0.00h,665.05h,847.17h,,,,,,115.08h,72.20h,0.15h,748.87h,,,,,1722.15h,
,SMARTPAY-776,[Post-sync] Do not send out production FPO payments in TEST,11/10/25,0.00h,22.77h,,,,,,,0.82h,97.68h,2.18h,,,,,,4077.83h,
,SMARTPAY-824,"Payment performance testing on Skyvaut in LV, LT, EE [24.11-26.11]",11/25/25,478.92h,,,,,,,,0.00h,0.00h,26.75h,,,,,,3711.73h,
,SMARTPAY-775,"Domestic (iBank and STAR) regression testing on Skyvault in LV, LT, EE [24.11-26.11]",11/27/25,378.78h,,,,,,,,0.00h,98.43h,67.82h,,,,,,3672.40h,
Production bug,SMARTPAY-774,iBank: Add additional logging to Smart Payment Form,11/14/25,73.85h,,,,,,,,0.00h,190.23h,0.15h,,,,,,3982.80h,
Production bug,SMARTPAY-773,mobile app - national chars issue with VOP close match name correction in cross-border payments,11/12/25,71.25h,,,,,,,,39.78h,124.33h,49.05h,,,,,,4031.02h,
,SMARTPAY-810,W670: foreignpayments,1/6/26,834.57h,,,,,,,,4.02h,,,508.03h,,,,,2705.82h,357.47h
,SMARTPAY-802,W670: batch-target2-uploader,12/19/25,1000.90h,,,63.83h,,,,,74.10h,102.82h,23.57h,,,,,,3144.70h,
,SMARTPAY-791,W880: account-alias-service-client,12/4/25,906.77h,,,,,,,,4.00h,,,,,,,,,3499.20h
,SMARTPAY-805,W880: account-alias-api,12/4/25,905.90h,,,,,,,,1.25h,,,,,,,,,3502.83h
,SMARTPAY-811,W712: payments-machine,12/12/25,756.05h,,,,,,,,,,,,,,,,,3629.95h
,SMARTPAY-809,W712: einvoice-payments-machine,12/30/25,875.88h,,,,,,,,142.87h,170.22h,0.15h,,,,,,2878.95h,341.90h
,SMARTPAY-804,W712: einvoice-generator,1/5/26,756.25h,,,146.50h,,,,,141.10h,170.22h,2.03h,121.42h,,,,,,3072.45h
,SMARTPAY-793,W670: sepatransfer,11/27/25,740.23h,,,,,,,,,,,,,,,,,3669.80h
,SMARTPAY-792,W670: incoming-swift-msg-converter,12/22/25,1049.37h,,,0.95h,,,,,143.93h,54.43h,0.65h,,,,,,3136.67h,
,SMARTPAY-798,W670: batch-wc-list-uplouder,11/27/25,740.23h,,,,,,,,,,,,,,,,,3669.82h
,SMARTPAY-797,W670: batch-wc-list-uploader,12/11/25,1077.83h,,,,,,,,1.08h,,,,,,,,,3331.13h
,SMARTPAY-806,W670: batch-nostro-export2,1/9/26,1100.98h,,,95.52h,,,,,482.83h,90.63h,0.48h,,,,,,2639.60h,
,SMARTPAY-799,W670: batch-incoming-swift-msg-loader,12/19/25,1097.25h,,,9.85h,,,,,100.53h,64.05h,0.02h,,,,,,3138.37h,
,SMARTPAY-795,W668: payment-monitor,12/4/25,906.68h,,,,,,,,0.10h,,,,,,,,,3503.38h
,SMARTPAY-801,W668: hibernate-test-bed,11/27/25,740.35h,,,,,,,,,,,,,,,,,3669.85h
,SMARTPAY-800,W668: giro-file-payment-reports,12/12/25,737.32h,,,,,,,,4.92h,356.67h,,,,,,,3311.27h,
,SMARTPAY-807,W668: giro-file-payment-importer,12/12/25,737.33h,,,,,,,,4.95h,356.63h,,,,,,,3311.27h,
,SMARTPAY-808,W668: batch-rt1-uploader,12/19/25,718.42h,,,65.43h,,,,,51.32h,403.33h,32.92h,,,,,,3138.75h,
,SMARTPAY-803,W668: batch-mock,12/2/25,718.23h,,,,,,,,,,,,,,,,3553.23h,138.73h
,SMARTPAY-794,W668: batch-liquidity,11/26/25,718.23h,,,,,,,,,,,,,,,,,3691.98h
,SMARTPAY-796,W668: batch-emergency-clearing,11/26/25,713.38h,,,,,,,,4.87h,,,,,,,,,3691.98h
Production bug,SMARTPAY-770,"pacs.004.001.09 cannot be created auto ""could not load an entity: [ee.hansa.bank.payments.PaymentArchived""",10/27/25,0.00h,1.33h,,,,,,,,1.93h,3.32h,0.00h,,,,,4407.55h,
Production bug,SMARTPAY-769,"[iBank]: [back button]List of payment second acceptor, on vop check modal press back and allow edit form and sign",10/27/25,0.17h,,,,,,,,1.87h,62.73h,3.00h,,,,,,4411.92h,
Production bug,SMARTPAY-768,iBank: Can't process with second signature (VOP and List of Payments view mode),10/27/25,0.23h,2.52h,,0.07h,,,,,3.05h,67.42h,3.48h,,,,,,4408.90h,
