Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,SMARTPAY-303,Ibank: issue on creating consolidated payment,8/5/24,2.88h,20.10h,,,1.15h,,,,263.80h,0.33h,4.42h,0.43h,,,,,15164.47h,
,SMARTPAY-305,International (not EUR) payment does not work from List of payments,7/26/24,0.02h,44.45h,,,,,,,2.20h,4.10h,20.98h,0.15h,,,,,15405.60h,
Production bug,SMARTPAY-302,[iso-exchange] 2024.07.22 errors about missing connections in PROD,8/21/24,0.05h,0.62h,,,,,,,697.03h,0.10h,0.07h,0.00h,,,,,14784.50h,
Production bug,SMARTPAY-301,LV Fidavista account statement - Incoming European payment TypeCode,7/24/24,0.00h,5.23h,,,15.70h,,,,20.40h,0.10h,3.52h,0.00h,,,,,15454.00h,
,SMARTPAY-300,CVUL0050164,9/3/24,1104.97h,,,,,,,,,,,,,,,,14472.70h,
,SMARTPAY-299,CVUL0050167,9/3/24,1104.97h,,,,,,,,,,,,,,,,14472.70h,
Production bug,SMARTPAY-296,[iBank] domestic payment signing technical error,8/12/24,0.00h,20.22h,,,0.55h,,,,313.00h,20.95h,0.00h,263.83h,,,,,0.35h,15002.25h
,SMARTPAY-295,[open-banking] Outgoing payment fee - counterparty country indicator,10/23/24,0.00h,0.00h,,,,,,,18.15h,2163.93h,189.82h,0.00h,,,,,13272.25h,
Test,SMARTPAY-291,Displaying beneficiary bank's unstructured address country in Authorise FPO form,7/10/24,0.07h,,,,,,,,,,,,,,,,15790.18h,
Spike,SMARTPAY-289,[ISO Exchange] Incoming payments got lost due to ISO Exchange pod restart,7/18/24,161.97h,,,,,,,,,,,,,,,,15626.30h,
Test,SMARTPAY-288,Beneficiary bank's unstructured address country validation in foreign standing order form,7/9/24,0.67h,,,,,,,,,,,,,,,,15813.65h,
,SMARTPAY-285,[SGW] Outgoing payment fee - counterparty country indicator,10/31/24,0.13h,0.00h,,,,,,,47.57h,1828.65h,861.50h,0.00h,,,,,13080.55h,
Production bug,SMARTPAY-314,[EPE LV] Payment in repeater is processed by two nodes simultaneously,,15.25h,986.28h,,,,,,,14443.48h,,,390.75h,,,,,,
Test,SMARTPAY-284,Beneficiary bank's unstructured address country validation in foreign payment form,7/8/24,0.27h,,,,,,,,,,,,,,,,15836.48h,
Test,SMARTPAY-283,Beneficiary bank's unstructured address country validation in predefined foreign payment form,7/8/24,0.23h,,,,,,,,,,,,,,,,15836.92h,
,SMARTPAY-677,H0158 error is missing in dp_error table,8/15/25,8741.53h,978.95h,,,,,,,0.18h,27.38h,0.17h,,,,,,6165.15h,
,SMARTPAY-280,[payment-services]CVUL0010162 - DEMO,9/3/24,1457.18h,,,,,,,,,,,,,,,,14473.05h,
,SMARTPAY-279,[iso-exchange]CVUL0013881,7/18/24,330.15h,,,,,,,,,,,,,,,,15600.08h,
,SMARTPAY-278,[payment-monitor namespace prometheus/alertmanager] CVUL0034158,6/27/25,8589.27h,,,,,,,,,,,,,,,,7340.97h,
,SMARTPAY-277,[payment-monitor namespace prometheus/alertmanager] CVUL0034820 - ON HOLD,3/24/26,15072.60h,,,,,,,,,,,,,,,,857.65h,
,SMARTPAY-276,[payment-monitor namespace prometheus/alertmanager]CVUL0034715,9/3/24,330.12h,,,,,,,,,,,,,,,,14472.90h,1127.23h
,SMARTPAY-275,[payment-monitor namespace prometheus/alertmanager]CVUL0034487 - ON HOLD,3/24/26,15072.62h,,,,,,,,,,,,,,,,857.65h,
Test,SMARTPAY-274,Beneficiary bank unstructured address country validation in list of payments,7/5/24,23.02h,,,,,,,,,,,,,,,,15910.23h,
Test,SMARTPAY-273,[pain.001]Beneficiary bank's unstructured address country is required when other information is not present,7/4/24,0.50h,,,,,,,,,,,,,,,,15933.42h,
,SMARTPAY-263,[TPH] CVUL0015160,7/1/24,314.22h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-262,[TPH] CVUL0045923,7/1/24,314.22h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-261,[TPH] CVUL0045991,7/1/24,314.22h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-260,[TPH] CVUL0011895,7/1/24,314.22h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-259,[TPH] CVUL0031062,7/1/24,314.22h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-258,[TPH] CVUL0014575,7/1/24,314.23h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-257,[TPH] CVUL0045776,7/1/24,314.25h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-256,[TPH] CVUL0045838,7/1/24,314.25h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-255,[TPH] CVUL0045872,7/1/24,314.25h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-254,[TPH] CVUL0045882,7/1/24,314.25h,,,,,,,,,,,,,,,,16002.43h,
,SMARTPAY-253,[TPH] CVUL0045819,7/5/24,402.22h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-252,[TPH] CVUL0045748,7/5/24,402.22h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-251,[TPH] CVUL0045959,7/5/24,402.23h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-250,[TPH] CVUL0045754,7/5/24,402.23h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-249,[TPH] CVUL0048056,7/5/24,402.23h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-248,[TPH] CVUL0045931,7/5/24,402.23h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-247,[TPH] CVUL0046004,7/5/24,402.23h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-246,[TPH] CVUL0045924,7/5/24,402.25h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-245,[TPH] CVUL0045957,7/5/24,402.25h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-243,[TPH] CVUL0046003,7/5/24,402.25h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-242,[TPH] CVUL0045943,7/5/24,402.25h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-241,[TPH] CVUL0045735,7/5/24,402.25h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-240,[TPH] CVUL0045913,7/5/24,402.27h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-239,[TPH] CVUL0046007,7/5/24,402.27h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-238,[TPH] CVUL0046006,7/5/24,402.27h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-237,[TPH] CVUL0045786,7/5/24,402.27h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-236,[TPH] CVUL0045736,7/5/24,402.27h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-235,[TPH] CVUL0014410,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-234,[TPH] CVUL0045731,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-233,[TPH] CVUL0045870,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-232,[TPH] CVUL0045890,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-231,[TPH] CVUL0045863,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-230,[TPH] CVUL0045809,7/5/24,402.30h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-229,[TPH] CVUL0045889,7/5/24,402.30h,,,,,,,,,,,,,,,,15914.50h,
,SMARTPAY-228,[TPH] CVUL0045977,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-227,[TPH] CVUL0045783,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-226,[TPH] CVUL0045740,7/5/24,402.28h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-225,[TPH] CVUL0045877,7/5/24,402.30h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-224,[TPH] CVUL0048015,7/5/24,402.30h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-223,[TPH] CVUL0045726,7/5/24,402.30h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-222,[TPH] CVUL0045814,7/5/24,402.32h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-221,[TPH] CVUL0045965,7/5/24,402.32h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-220,[iso-exchange] CVUL0013881,9/3/24,45.43h,,,,,,,,,,,,,,,,14472.75h,1798.65h
,SMARTPAY-219,[TPH]CVUL0045797,7/5/24,402.32h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-218,[TPH]CVUL0045929,7/5/24,402.32h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-217,[TPH]CVUL0048064,7/5/24,402.33h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-216,[TPH]CVUL0045896,7/5/24,402.33h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-215,[TPH]CVUL0046008,7/5/24,402.33h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-214,[TPH]CVUL0045905,7/5/24,402.33h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-213,[sb-w670-iso-exchange]CVUL0015161,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-212,[TPH]CVUL0046638,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-211,[TPH]CVUL0045852,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-210,[sb-w668-payment-monitor]CVUL0034158,4/22/25,1315.12h,0.00h,1.15h,,0.02h,,,,216.63h,502.57h,0.00h,600.67h,,,,,,13680.65h
,SMARTPAY-209,CVUL0045967,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-208,[TPH]CVUL0014667,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-207,[TPH]CVUL0048047,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-206,[TPH]CVUL0045832,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-205,[TPH]CVUL0048020,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-204,[TPH]CVUL0045868,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.52h,
,SMARTPAY-203,[payment-monitor] CVUL0034820 - DEMO,6/27/25,7177.42h,,,,,,,,,,,,,,,,7340.20h,1799.27h
,SMARTPAY-202,[TPH] CVUL0045864,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.53h,
,SMARTPAY-201,[TPH] CVUL0012673,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.53h,
,SMARTPAY-200,[TPH] CVUL0045792,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.53h,
,SMARTPAY-199,[TPH] CVUL0045869,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.53h,
,SMARTPAY-198,[TPH] CVUL0045831,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.53h,
,SMARTPAY-197,[payment-monitor] CVUL0041022,6/27/25,8975.97h,,,,,,,,,,,,,,,,7340.93h,
,SMARTPAY-196,[TPH] CVUL0045966,7/5/24,402.35h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-195,[payment-monitor] CVUL0034715,6/20/24,44.80h,,,,,,,,,,,,,,,,,16272.12h
,SMARTPAY-194,[TPH] CVUL0045990,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-193,[TPH] CVUL0014459,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-192,[TPH] CVUL0045808,7/5/24,402.37h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-191,[payment-monitor] CVUL0034487,6/27/25,7177.47h,,,,,,,,,,,,,,,,7340.22h,1799.23h
,SMARTPAY-190,[TPH] CVUL0045781,7/5/24,402.38h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-189,[TPH] CVUL0045910,7/5/24,402.38h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-188,[TPH] CVUL0045875,7/5/24,402.38h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-187,[TPH] CVUL0011353,7/5/24,402.38h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-186,[TPH] CVUL0045873,7/5/24,402.40h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-185,[TPH] CVUL0045761,7/5/24,402.40h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-184,[TPH] CVUL0045813,7/5/24,402.40h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-183,[TPH] CVUL0045780,7/5/24,402.40h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-182,[TPH] CVUL0045779,7/5/24,402.42h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-181,[TPH] CVUL0045928,7/5/24,402.42h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-180,[TPH] CVUL0048024,7/5/24,402.42h,,,,,,,,,,,,,,,,15914.55h,
,SMARTPAY-179,[TPH] CVUL0046005,7/4/24,382.75h,,,,,,,,,,,,,,,,15934.22h,
,SMARTPAY-178,[TPH] CVUL0045960,7/4/24,382.73h,,,,,,,,,,,,,,,,15934.23h,
,SMARTPAY-177,[TPH] CVUL0045818,7/4/24,382.75h,,,,,,,,,,,,,,,,15934.23h,
,SMARTPAY-176,[TPH] CVUL0045807,7/4/24,382.73h,,,,,,,,,,,,,,,,15934.25h,
,SMARTPAY-175,[TPH] CVUL0045791,7/4/24,382.72h,,,,,,,,,,,,,,,,15934.27h,
,SMARTPAY-174,[TPH] CVUL0045909,7/4/24,382.68h,,,,,,,,,,,,,,,,15934.30h,
,SMARTPAY-173,[TPH] CVUL0045847,7/4/24,382.67h,,,,,,,,,,,,,,,,15934.32h,
,SMARTPAY-172,[TPH] CVUL0045724,7/4/24,382.67h,,,,,,,,,,,,,,,,15934.33h,
,SMARTPAY-171,[TPH] CVUL0045860,7/4/24,382.65h,,,,,,,,,,,,,,,,15934.35h,
,SMARTPAY-170,[TPH] CVUL0045933,7/4/24,382.63h,,,,,,,,,,,,,,,,15934.37h,
,SMARTPAY-169,[TPH] CVUL0045835,7/4/24,382.63h,,,,,,,,,,,,,,,,15934.37h,
,SMARTPAY-168,[TPH] CVUL0045804,7/4/24,382.62h,,,,,,,,,,,,,,,,15934.38h,
,SMARTPAY-167,[TPH] CVUL0013973,7/4/24,382.42h,,,,,,,,,,,,,,,,15934.58h,
,SMARTPAY-166,[TPH] CVUL0045981,7/4/24,382.42h,,,,,,,,,,,,,,,,15934.60h,
,SMARTPAY-165,[TPH] CVUL0045972,7/4/24,382.40h,,,,,,,,,,,,,,,,15934.62h,
,SMARTPAY-164,[TPH] CVUL0045906,7/4/24,382.38h,,,,,,,,,,,,,,,,15934.63h,
,SMARTPAY-163,[payment-monitor namespace prometheus-operator] CVUL0035074,6/27/25,46.13h,0.00h,,,,,,,263.98h,,,8308.40h,,,,,7340.90h,357.58h
,SMARTPAY-162,[TPH] CVUL0045800,7/4/24,382.38h,,,,,,,,,,,,,,,,15934.65h,
,SMARTPAY-161,[TPH] CVUL0014159,7/4/24,382.37h,,,,,,,,,,,,,,,,15934.67h,
,SMARTPAY-160,[TPH] CVUL0045939,7/4/24,382.35h,,,,,,,,,,,,,,,,15934.68h,
,SMARTPAY-159,[TPH] CVUL0045953,7/4/24,381.32h,,,,,,,,,,,,,,,,15935.78h,
,SMARTPAY-158,[TPH] CVUL0045785,7/4/24,381.30h,,,,,,,,,,,,,,,,15935.80h,
,SMARTPAY-157,[payment-monitor namespace prometheus-operator] CVUL0034653,6/27/25,8594.72h,,,,,,,,,,,,,,,,7340.80h,357.58h
,SMARTPAY-156,[TPH] CVUL0045884,7/4/24,381.30h,,,,,,,,,,,,,,,,15935.82h,
,SMARTPAY-155,[TPH] CVUL0045897,7/4/24,381.28h,,,,,,,,,,,,,,,,15935.83h,
,SMARTPAY-154,[TPH]CVUL0045876,7/5/24,402.52h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-153,[TPH]CVUL0045848,7/5/24,402.52h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-152,[TPH]CVUL0046604,7/5/24,402.53h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-151,[TPH]CVUL0045732,7/5/24,402.53h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-150,[TPH]CVUL0045737,7/5/24,402.53h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-149,[TPH]CVUL0045999,7/5/24,402.53h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-148,[TPH]CVUL0045851,7/5/24,402.53h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-147,[sb-w670-iso-exchange-gate]CVUL0015019,7/5/24,402.55h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-146,[sb-w670-iso-exchange-gate]CVUL0011954,7/5/24,402.55h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-145,[TPH]CVUL0045888,7/5/24,402.55h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-144,[TPH]CVUL0046002,7/5/24,402.55h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-143,[TPH]CVUL0048166,7/5/24,402.55h,,,,,,,,,,,,,,,,15914.60h,
,SMARTPAY-142,[TPH]CVUL0045753,7/4/24,386.78h,,,,,,,,,,,,,,,,15930.37h,
,SMARTPAY-141,[TPH]CVUL0045718,7/4/24,386.77h,,,,,,,,,,,,,,,,15930.38h,
,SMARTPAY-140,[TPH]CVUL0045717,7/4/24,386.77h,,,,,,,,,,,,,,,,15930.38h,
,SMARTPAY-139,[TPH]CVUL0045802,7/4/24,386.77h,,,,,,,,,,,,,,,,15930.40h,
,SMARTPAY-138,[TPH]CVUL0045971,7/4/24,386.75h,,,,,,,,,,,,,,,,15930.42h,
,SMARTPAY-137,[TPH]CVUL0045760,7/4/24,386.77h,,,,,,,,,,,,,,,,15930.40h,
,SMARTPAY-136,[TPH]CVUL0045788,7/4/24,386.73h,,,,,,,,,,,,,,,,15930.43h,
,SMARTPAY-135,[TPH]CVUL0045932,7/4/24,386.73h,,,,,,,,,,,,,,,,15930.43h,
,SMARTPAY-134,[TPH]CVUL0045798,7/4/24,386.73h,,,,,,,,,,,,,,,,15930.45h,
,SMARTPAY-133,[TPH]CVUL0045961,7/4/24,386.72h,,,,,,,,,,,,,,,,15930.45h,
,SMARTPAY-132,[TPH]CVUL0045799,7/4/24,386.72h,,,,,,,,,,,,,,,,15930.47h,
,SMARTPAY-131,[TPH]CVUL0045810,7/4/24,386.72h,,,,,,,,,,,,,,,,15930.47h,
,SMARTPAY-130,[TPH]CVUL0045767,7/4/24,266.35h,0.00h,,,0.00h,,,,120.35h,0.00h,0.00h,0.00h,,,,,15930.48h,
,SMARTPAY-327,S4.2 - Require Address to be set for beneficiary bank if Country and SWIFT/BIC values are present in unstructured address,9/18/24,2066.82h,0.17h,,,,,,,,0.00h,0.02h,164.25h,,,,,14114.15h,
,SMARTPAY-124,EE STAR issues with encoding in Incoming International payments pages,6/25/24,72.20h,0.00h,,,0.00h,,,,27.40h,42.90h,126.23h,0.00h,,,,,16148.08h,
Production bug,SMARTPAY-316,"[EE, LT]the payer's account number is not displayed on the printed e-invoice standing order agreement.",9/4/24,2.63h,482.05h,,17.10h,,,,,856.10h,223.78h,32.12h,361.32h,,,,,14443.75h,
Test,SMARTPAY-117,Defined foreign payment requires beneficiary bank country when BIC and clearing code is not entered,6/13/24,0.05h,,,,,,,,,,,,,,,,16436.88h,
Production bug,SMARTPAY-116,error code [1086]; ORA-01086: savepoint 'LAST_PAYMENT' never established in this session or is invalid,7/16/24,0.58h,0.00h,,,,,,,24.65h,267.48h,24.03h,479.27h,,,,,15645.62h,
,SMARTPAY-339,S4.4 - STAR: add beneficiary's address fields to domestic standing order form in LV and EE,11/21/24,0.00h,2226.05h,110.95h,42.78h,,,,,389.47h,389.75h,268.62h,483.75h,,,,,12572.63h,
,SMARTPAY-338,S4.3 - STAR: show beneficiary's address when reviewing payment in print transactions in LV and EE,10/3/24,0.00h,2327.53h,,,,,,,91.12h,172.75h,139.38h,0.00h,,,,,13753.68h,
,SMARTPAY-115,[IBANK] Outgoing payment fee - counterparty country indicator,10/31/24,0.08h,0.00h,,83.48h,,,,,791.98h,1570.97h,982.22h,0.00h,,,,,13081.22h,
,SMARTPAY-114,[DB] Outgoing payment fee - counterparty country indicator (Inernet banking),9/17/24,0.03h,0.00h,,621.37h,,,,,145.08h,1222.53h,388.10h,0.03h,,,,,14133.00h,
,SMARTPAY-337,S4.3 - STAR: add beneficiary's address fields to predefined domestic payment form in LV and EE,10/7/24,0.03h,2252.33h,,92.38h,,,,,95.23h,104.67h,190.30h,122.85h,,,,,13652.57h,
,SMARTPAY-336,STAR: add beneficiary's address fields to domestic payment form in LV and EE,11/21/24,0.10h,2252.20h,,6.38h,,,,,407.75h,763.93h,196.42h,311.83h,,,,,12571.78h,
,SMARTPAY-328,"iBank - Foreign standing order - ""Country"" field missing indicator that it's mandatory under unstructured address",9/20/24,2297.13h,0.00h,,,,,,,78.92h,73.10h,22.50h,43.62h,,,,,14060.25h,
,SMARTPAY-110,"STAR PDF - Outgoing payment (SEPCO, EKSCO, SEPGO) - EE printout issues - #5",6/13/24,0.02h,0.00h,,,,,,,72.83h,70.77h,0.37h,0.00h,,,,,16442.15h,
Bug Sub-Task,SMARTPAY-109,Impossible to create international SEPA standing order,6/7/24,26.33h,0.00h,,,,,,,2.98h,0.00h,0.00h,0.00h,,,,,16579.78h,
,SMARTPAY-108,"STAR PDF - Outgoing payment (SEPCO, EKSCO, SEPGO) - LT printout issues - #2",6/10/24,96.48h,,,,,,,,,,,,,,,,,16512.82h
,SMARTPAY-107,"STAR PDF - Outgoing payment (SEPCO, EKSCO, SEPGO) - EE printout issues - #3",6/10/24,96.55h,0.00h,,,,,,,,,,0.00h,,,,,,16512.80h
,SMARTPAY-281,"STAR-LIGHTJAVA-PORTLETS PDF - Outgoing payment (SEPCO, EKSCO, SEPGO) - LV printout issues - #2, #3, #6, #7, #8",7/9/24,0.00h,197.45h,,68.28h,,,,,281.37h,221.53h,30.72h,0.00h,,,0.00h,,15810.25h,
,SMARTPAY-104,iBank - Defined payment - Beneficiary bank unstructured address country,6/17/24,4.47h,0.00h,,,,,,,0.00h,168.40h,92.40h,0.00h,,,,,16344.78h,
,SMARTPAY-102,"STAR PDF - Document Number Outgoing payment (SEPCO, EKSCO, SEPGO) - LV printout issues - #1",6/6/24,2.15h,0.00h,,,,,,,0.00h,0.23h,25.28h,0.00h,,,,,16602.62h,
Test,SMARTPAY-100,[LV]Internation payments in FiDAViSta require beneficiary bank's country when SWIFT/BIC is not present,6/3/24,0.28h,,,,,,,,,,,,,,,,16680.93h,
,SMARTPAY-99,Country field is not taken into validation for unstructured address when address is left empty,6/5/24,17.50h,0.00h,,1.32h,,,,,121.62h,17.00h,2.83h,5.58h,,,,,16629.63h,
,SMARTPAY-98,iBank - List of payments - Beneficiary bank unstructured address country,5/30/24,0.00h,20.17h,,,1.43h,,,,,,,,,,,,,16778.38h
Test,SMARTPAY-97,International payment requires beneficiary bank country when BIC and clearing code is not entered,6/6/24,212.13h,,,,,,,,,,,,,,,,16609.97h,
,SMARTPAY-96,"""Continue"" button is not working for foreign standing orders in iBank",5/29/24,0.12h,90.45h,,,,,,,28.45h,18.02h,0.50h,0.50h,,,,,16801.77h,
Test,SMARTPAY-95,[LV]Repeal an EKSCO payment,5/22/24,26.70h,,,,,,,,,,,,,,,,16965.45h,
Test,SMARTPAY-94,[LV]Authorize an EKSCO payment,5/22/24,26.72h,,,,,,,,,,,,,,,,16965.45h,
,SMARTPAY-93,STAR - Authorize FPO - LV specific data is not stored in DP,5/27/24,0.05h,164.23h,,,,,,,,,,,,,,,,16850.60h
,SMARTPAY-92,"STAR PDF - Outgoing payment (SEPCO, EKSCO, SEPGO) - LV printout issues - #4 and #5",6/6/24,1.22h,305.82h,,,7.65h,,,,167.62h,0.00h,0.88h,0.00h,,,,,16608.52h,
Test,SMARTPAY-91,International payments are not included in domestic payment double identification limit calculation,5/15/24,0.13h,,,,,,,,,,,,,,,,17133.97h,
,SMARTPAY-90,Sepa exchange changes to prevent overwriting EKSCO status.,5/21/24,23.80h,0.00h,,,,,,,6.17h,113.63h,5.05h,0.00h,,,,,16989.98h,
,SMARTPAY-89,[DB] New error codes for domestic and foreign payments,5/15/24,19.93h,,,,,,,,,,,,,,,,17137.07h,
,SMARTPAY-88,[sepa-web] Clean old code of old style pages,9/18/24,2422.60h,0.00h,,,,,,,268.80h,289.27h,23.97h,96.48h,,,,,14109.02h,
Test,SMARTPAY-86,"[EE, LV, LT] PDF generated in ""Print transactions"" details view form",5/17/24,208.82h,,,,,,,,,,,,,,,,17090.23h,
Test,SMARTPAY-85,"[LV] CANCEL button renamed in ""Print transactions"" details view form",5/17/24,208.82h,,,,,,,,,,,,,,,,17090.25h,
Test,SMARTPAY-84,"[EE] CANCEL button removed in ""Print transactions"" details view form",5/17/24,208.83h,,,,,,,,,,,,,,,,17090.25h,
Test,SMARTPAY-83,"[EE, LV, LT] Remitter's fax removed in ""Print transactions"" details view form",5/17/24,208.85h,,,,,,,,,,,,,,,,17090.23h,
Test,SMARTPAY-82,"[EE] Foreign payments search in ""Print transactions"" search form by account number + time period",5/17/24,208.88h,,,,,,,,,,,,,,,,17090.23h,
Test,SMARTPAY-81,"[EE, LV, LT] Foreign payments search in ""Print transactions"" search form by archival code",5/17/24,209.05h,,,,,,,,,,,,,,,,17090.23h,
Test,SMARTPAY-80,[LV]Outgoing foreign payment printout for emergency cross-border (EKSCO) payment,5/13/24,119.72h,,,,,,,,,,,,,,,,17182.28h,
Test,SMARTPAY-79,Outgoing foreign payment printout for intragroup (SEPGO) payment,5/13/24,119.73h,,,,,,,,,,,,,,,,17182.28h,
Test,SMARTPAY-78,Outgoing foreign payment printout for cross-border (SEPCO) payment,5/13/24,119.75h,,,,,,,,,,,,,,,,17182.28h,
,SMARTPAY-77,STAR - Name length error in payment to SEPA non-reachable bank,5/14/24,0.00h,91.02h,,,0.90h,,,,31.47h,116.48h,23.52h,0.00h,,,,,17158.75h,
,SMARTPAY-335,STAR: [SINGLE FORM OFF] Foreign payments update PDFs used for EU cross-border payments,10/18/24,289.10h,3048.10h,,0.00h,,,,,378.13h,219.85h,69.07h,190.63h,,,,,13394.53h,
,SMARTPAY-330,iBank: open SMART form when European payment is selected in defined payment list,12/18/24,339.85h,3024.38h,,,,,,,80.27h,1938.10h,125.43h,210.67h,,,,,11921.48h,
,SMARTPAY-333,iBank: update defined payments list,12/17/24,339.90h,3024.52h,,72.45h,,,,,337.68h,1391.05h,239.35h,290.00h,,,,,11945.25h,
,SMARTPAY-75,"[DB] STAR - Domestic payments double identification - Exclude outgoing international payments (SEPCO, EKSCO, SEPGO)",5/15/24,0.00h,17.95h,,,29.80h,,,,97.30h,146.82h,48.78h,167.32h,,,,,17133.93h,
Test,SMARTPAY-74,SEPA intragroup standing order beneficiary and payer name limit is 70,4/30/24,195.87h,,,,,,,,,,,,,,,,17493.52h,
