Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-3875,Wrong mark-up for submenu,,,3332.33h,,,,,,,,,,,,,,,,,,
,GUI-3874,ui-slider accessibility issues,,,3347.50h,,,,,,,,,,,,,,,,,,
,GUI-3872,ui-slider displays invalid value in the input with maximum value reached with keyboard,,,3355.15h,,,,,,,,,,,,,,,,,,
,GUI-3870,Add docs how to use 2 labels for 1 toggle,,,24.23h,,,,,,,,,,,,,,,,3353.40h,,
,GUI-3869,Create component for text-only-field but with definition list inside,,,3216.18h,,,,,,,74.63h,88.70h,,,,,,,,,,
,GUI-3867,Visual tests playwright migration finalization,,,3332.95h,,,,,,,1.32h,0.60h,,,,,,,,0.03h,,
,GUI-3865,UI-inputgroup forces units to wrong input field.,,,3452.12h,,,,,,,,,,,,,,,,,,
,GUI-3863,Popover - Design updates,,,3197.12h,,,,,,,256.07h,,,,,,,,,,,
,GUI-3860,UI-modal with multiple steps - NVDA re-announces open modal button,,,3456.43h,,,,,,,,,,,,,,,,,,
,GUI-3859,UI-dropdown empty value is being validated,,,0.02h,,,,,,,,,,,,,,,,3475.70h,,
,GUI-3858,UI Dropdown accepts empty values as valid,,,3475.77h,,,,,,,,,,,,,,,,,,
,GUI-3856,Consider to remove libs/ibank/util-iframe-tokens,,,1.02h,,,,,,,,,,,,,,,,3480.70h,,
,GUI-3854,Background issue with language labels,,,3502.35h,,,,,,,,,,,,,,,,,,
,GUI-3852,Strikethrough text not read out by NVDA,,,3528.33h,,,,,,,,,,,,,,,,,,
,GUI-3851,Make AppProfile consistent type not too general,,,0.05h,,,,,,,0.03h,23.88h,,,,,,,,3505.85h,,
,GUI-3850,Implement Session Handling for FDP Side Using Silent Authentication,,,334.45h,,,,,,,,,,,,,,,,3211.43h,,
,GUI-3849,Use playwright and typescript for visual tests vol.2,,,332.72h,,,,,,,,,,,,,,,,3213.40h,,
,GUI-3847,Container Namespaces (FDP iBank) migration to another cluster,,,548.82h,,,,,,,,,,,,,,,,3000.08h,,
,GUI-3842,Ū sometimes appears incorrectly (investigation),,,3618.27h,,,,,,,,,,,,,,,,,,
,GUI-3838,textarea tag's aria-describedby discards manually set IDs when inside of ui-textcounter,,,3619.67h,,,,,,,,,,,,,,,,,,
,GUI-3837,UI Product does not act as link without page-id,,,3620.18h,,,,,,,,,,,,,,,,,,
,GUI-3836,Fix playground formatting,,,3620.63h,,,,,,,,,,,,,,,,,,
,GUI-3833,get rid of ui-field control-id getter side effects,,,3643.73h,,,,,,,,,,,,,,,,,,
,GUI-3829,UI Hints are read out twice by NVDA,,,3665.63h,,,,,,,,,,,,,,,,,,
,GUI-3828,Tooltip is not accessible at 400% zoom,,,3666.27h,,,,,,,,,,,,,,,,,,
,GUI-3825,Fix form field labels connection to inputs,,,3671.30h,,,,,,,,,,,,,,,,,,
