Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1494,Enable Sonar for all flow manager projects,3/2/26,0.07h,,0.00h,,,,168.98h,432.08h,0.05h,0.00h,,,1388.63h,,,,,
,CALLS-1493,Remove payment services performance test page in ibank,2/5/26,2.53h,,16.25h,,,,1.70h,0.00h,0.02h,0.00h,,,1989.95h,,,,,
,CALLS-1492,Alert to notify excessive rebalancing of Kafka consumers,,2010.50h,,,,,,,,,,,,,,,,,
,CALLS-1497,[FLM | Entrypoint] Creditor agent account in correspondent bank (FPO),2/26/26,0.00h,0.78h,306.90h,,,,72.32h,113.60h,35.03h,1.07h,,,1481.57h,,,,,
,CALLS-1491,DB: Create new error code - The whole Mass file will be rejected,2/11/26,166.38h,,,,,,,,,,,,,1847.23h,,,,
,CALLS-1490,Reduce history level (possibly),,478.53h,966.47h,569.33h,,,,,,,,,,,,,,,
,CALLS-1488,[FLM] ERROR thrown in logs when single payment order waiting for Mass header processing,3/19/26,0.00h,,696.52h,,,,103.37h,0.00h,215.65h,15.75h,,,985.58h,,,,,
,CALLS-1487,[Flow Manager] Mass header from BH can not be proceseed,2/4/26,0.00h,,0.03h,,,,0.00h,21.93h,1.95h,0.00h,,,2010.27h,,,,,
,CALLS-1486,Investigate possibility to add retry values in Camunda worker log,,0.00h,,2130.70h,,,,,,,,,,,,,,,
,CALLS-1485,Make application changes,2/10/26,0.00h,,0.00h,,,,0.00h,99.30h,164.58h,0.97h,,,1867.42h,,,,,
,CALLS-1489,DB: Create new error code - Mass payment contains non-domestic payments,,2134.28h,,,,,,,,,,,,,,,,,
,CALLS-1484,Create UNIQUE constraint on ACT_HI_PROCINST table,2/4/26,1.10h,,0.00h,,,,0.00h,118.28h,0.00h,0.00h,,,2016.72h,,,,,
,CALLS-1480,reorder certificates for production,4/20/26,1890.07h,,0.00h,,,,4.28h,19.63h,76.03h,0.00h,,,212.83h,,,,,
,CALLS-1479,Cleanup activity for counting of closed MassPayments Headers,2/11/26,356.82h,,,,,,,,,,,,,1848.10h,,,,
,CALLS-1482,CVUL0076456,2/18/26,533.48h,,,,,,,,,,,,1675.27h,,,,,
,CALLS-1481,CVUL0075096,2/18/26,533.50h,,,,,,,,,,,,1675.27h,,,,,
,CALLS-1478,[Test] Reading messages from Action kafka topic,,1487.85h,0.00h,721.40h,,,,,,,,,,,,,,,
,CALLS-1477,Execute test cases for SGW process in Flow Manager,,401.88h,,0.00h,,,,458.83h,,0.00h,1364.93h,0.00h,,,,,,,
,CALLS-1475,[Flow Manager] - Test Automation Placeholder,,2229.48h,,,,,,,,,,,,,,,,,
,CALLS-1471,[Flow Manager] - Test Automation Placeholder,,2303.82h,,,,,,,,,,,,,,,,,
,CALLS-1470,[SQL] Create SGW agreements and limits for payments test users,2/5/26,0.00h,,0.00h,,,,0.00h,310.73h,0.00h,18.02h,,,1993.50h,,,,,
,CALLS-1483,Preserve payment list sorting order on page reload,2/2/26,0.22h,,262.88h,,,,0.00h,,0.00h,0.30h,,,2063.10h,,,,,
,CALLS-1469,[Flowmanager] - Payment Information MIG rules testing - payment status & priority,,2346.70h,,,,,,,,,,,,,,,,,
,CALLS-1468,Refactor PaymentHeaderTotalsVerification delegate - save variables in different contexts,2/4/26,0.00h,,17.55h,,,,0.00h,239.47h,76.27h,1.72h,,,2013.23h,,,,,
,CALLS-1467,Re-order test flow manager certificate to include azure zone,1/29/26,0.35h,,0.42h,,,,0.00h,189.53h,6.98h,0.00h,,,2153.20h,,,,,
,CALLS-1464,ensure technical duplicates catching with the same business key,2/4/26,0.38h,193.92h,0.00h,,,,44.45h,119.53h,0.87h,0.10h,,,2015.70h,,,,,
,CALLS-1462,[FlowManager] json can not be parsed when Creditor prvtId Othr is added,2/4/26,0.00h,,195.68h,,,,17.68h,128.45h,0.30h,22.73h,,,2011.50h,,,,,
,CALLS-1461,define test cases for Validation and Enrichment of Payment Order,,2394.37h,,,,,,,,,,,,,,,,,
,CALLS-1456,FLM orchestration impact to current SQL monitoring,,2495.78h,,,,,,,,,,,,,,,,,
,CALLS-1455,[STAR] Cancel future date payment (FLM),2/19/26,0.00h,0.73h,474.62h,,,,142.23h,4.27h,208.90h,30.78h,,,1652.98h,,,,,
,CALLS-1454,[FLM Entrypoint] make adjustments to reflect changed name of Kafka schema from BpayStream app,2/13/26,528.72h,,0.00h,,,,0.48h,0.82h,96.22h,98.78h,,,1795.97h,,,,,
Production bug,CALLS-1459,RTGS payment with 'AnyBIC' Party_ID_type fails to validate,2/2/26,0.00h,,75.23h,,,,0.68h,63.82h,102.23h,238.00h,,,2060.23h,,,,,
,CALLS-1453,Set-up environments in Skyvault - Linux Dev and Gate,,47.72h,,0.00h,,,,0.00h,2495.72h,,,,,,,,,,
Production bug,CALLS-1457,Payment in repeater is processed by two nodes simultaneously,1/19/26,0.10h,,51.33h,,,,0.00h,1.23h,19.40h,74.63h,,,2396.80h,,,,,
,CALLS-1452,"SEPA- RT1 (Instant) regression testing on Skyvault in EE, LV,LT [26-30.01.2026]",3/19/26,313.55h,,548.43h,,,,697.75h,,,,,,,983.85h,,,,
,CALLS-1451,"SEPA- STEP2 (Normal- Clearing cycles) regression testing on Skyvault in EE, LV,LT [26-30.01.2026]",3/19/26,311.33h,0.00h,550.67h,,,,697.75h,,,,,,,983.85h,,,,
,CALLS-1450,[Forms Teller] Electronical payments (FLM) - status correction,4/6/26,0.00h,,1745.85h,,,,28.27h,65.23h,5.05h,169.38h,,,548.17h,,,,,
,CALLS-1449,create technical test cases for Process definitions,3/26/26,936.97h,815.05h,0.00h,,,,0.00h,,,,0.00h,,815.72h,,,,,
,CALLS-1448,create technical test cases to cover,1/15/26,71.18h,,,,,,,,,,,,,2496.58h,,,,
,CALLS-1447,Monitor all Camunda incidents,,2568.67h,,,,,,,,,,,,,,,,,
,CALLS-1460,"[iBank Business] Possible to initiated instant payment, when its switched off",1/29/26,0.62h,,193.57h,,,,0.00h,0.00h,168.97h,142.98h,,,2156.18h,,,,,
,CALLS-1446,"Data mapping and error handling for ""Broadcast MASS header status"" service task in massPaymentHeaderDefinition",1/17/26,0.00h,4.58h,19.72h,,,,29.33h,119.97h,46.08h,25.85h,,,2442.78h,,,,,
