Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-404,System cleanup after TH/THN tables not used for Foreign payment processing,,0.57h,2712.22h,,,,,2377.93h,,,,,,,,,,,5090.72h,0.00h
,VDE19-445,1. Domestic/SEPA Payments Form Accessibility Page,3/6/26,1116.15h,0.00h,429.35h,,,1162.85h,0.00h,936.88h,1.80h,243.77h,,,,,1316.73h,,,3890.80h,1182.45h
,VDE19-452,3. International Payment Page,10/9/25,1006.22h,0.00h,331.13h,,,,0.03h,1343.97h,5.42h,,,,,21.32h,2470.27h,,,2708.08h,1370.70h
,VDE19-403,[TPH] Payment xsd to new version 010,1/20/26,0.25h,0.00h,,,,,2833.70h,0.00h,0.00h,,,,,,2400.15h,,,2833.95h,0.00h
,VDE19-401,[TPH] User roles - access rights management OUT,,5279.77h,,,,,,,,,,,,,,,,,5279.77h,0.00h
,VDE19-400,Reporting adjustments because of LT emergency flow payments/returns,,0.00h,,,,,,5372.68h,,,,,,,,,,,5372.68h,0.00h
,VDE19-393,[IPR] Extend FLM with VoP Validation and Execute-or-Reject Logic for Signed SGW Payments,,2188.30h,,,,,,3213.72h,,,,,,,,,,,5402.02h,0.00h
,VDE19-399,[AA] Payments ibank pages implementation <100 visits / month,3/26/26,1469.47h,0.00h,,,,,2925.72h,475.50h,0.00h,,,,,,841.00h,,,4870.68h,475.50h
,VDE19-390,TEST: [TPH][EndToEnd] Incoming bank-to-bank pacs.009 payment EXCEPTIONS,,5587.80h,,,,,,192.85h,,,,,,,,,,,5780.65h,0.00h
,VDE19-389,TEST: [TPH][EndToEnd] Incoming bank-to-bank pacs.009 payment HAPPY PATH,,585.03h,,,,,,5197.35h,,,,,,,,,,,5782.38h,0.00h
,VDE19-384,Bulking/debulking financial messages during LT emergency,,5905.65h,,,,,,,,,,,,,,,,,5905.65h,0.00h
,VDE19-397,[Fitness] Payments ibank pages with <100 visits / month closure,,5023.83h,0.00h,,,,,0.00h,881.62h,0.23h,,,,,,,,,5905.68h,881.85h
,VDE19-382,Integration with CentroLink clearing for LT emergency,,145.75h,,,,,,5759.98h,,,,,,,,,,,5905.73h,0.00h
,VDE19-381,[IPR] Payment order data manager functional improvement for full functionality launch,,464.07h,1225.68h,,,,,1506.35h,2711.02h,,,,,,,,,,5907.12h,2711.02h
,VDE19-396,[AA] Payments ibank pages implementation +100 visits / month,4/1/26,1703.92h,0.00h,,,,,0.05h,3547.77h,0.00h,,,,,,694.47h,,,5251.73h,3547.77h
