Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1628,"[PAYME-1453] [LV/LT] When a file with a single payment is uploaded and the opt-out option is selected, its status becomes Opted Out",1/7/26,0.72h,0.00h,,,,,0.00h,0.48h,118.52h,0.02h,,,,,,1801.25h,
,PAYME-1627,incorrect vop status for CRE defective payments when opt out,1/5/26,0.00h,0.00h,,,,,4.43h,67.35h,0.72h,0.25h,,,,,,1850.10h,
Production bug,PAYME-1626,lv_core ; pdb063 ; INC08410041 free space in tablespace USERS,2/6/26,574.33h,0.00h,0.00h,,,,0.00h,308.90h,0.00h,24.60h,,,,,,1080.72h,
Bug Sub-Task,PAYME-1625,Issue with VOP processing for European (SEPCO) payments,1/21/26,143.32h,32.03h,42.85h,0.07h,,,0.00h,235.40h,65.73h,3.93h,,,,,,1465.90h,
Bug Sub-Task,PAYME-1624,In pain.002 BIC should be according to country,2/13/26,237.30h,647.30h,,,,,0.00h,97.78h,97.12h,0.00h,,,,,,910.28h,
,PAYME-1623,Do not provide internal error codes in pain.002,2/13/26,237.53h,646.45h,,,,,0.00h,98.62h,97.08h,0.00h,,,,,,910.30h,
Bug Sub-Task,PAYME-1622,The same batch (batch sid) has two records in status report table,2/13/26,909.90h,0.00h,,,,,0.00h,73.57h,97.18h,0.00h,,,,,,910.22h,
,PAYME-1621,[worker-payment-vop-handler] Verify not only payment version on update retry,1/16/26,0.00h,68.05h,,,,,0.00h,72.57h,49.85h,219.10h,,,,,,1582.05h,
,PAYME-1640,Not able to delete payments in List of payments,1/12/26,1.38h,,,,215.88h,,,93.60h,0.92h,1.05h,,,,,,1682.37h,
,PAYME-1619,"[core-payment-order-data-manager] DB PAYMENTS.DP_VOP data type size to short - REQUEST_BIC, REQUEST_NAME",1/23/26,690.25h,0.00h,,,,,0.00h,11.53h,36.73h,0.00h,,,,,,1419.45h,
,PAYME-1618,[iBank] Sorting by columns in import page/list of payments doesn't work properly,1/6/26,0.17h,311.38h,,,,,0.00h,6.10h,16.18h,1.45h,,,,,,1827.18h,
,PAYME-1617,[TEST] Mass payments: from mass payments page,1/14/26,0.02h,0.00h,,,,,0.00h,,0.00h,533.35h,,,,,,1631.03h,
,PAYME-1616,[TEST] Mass payments: import payment page,1/13/26,0.02h,0.00h,,,,,0.00h,,0.00h,507.62h,,,,,,1656.78h,
Bug Sub-Task,PAYME-1615,CRE payment for CMTC shows <=70 message,1/6/26,0.00h,0.00h,0.00h,,,,4.12h,0.00h,312.50h,27.60h,,,,,,1820.22h,
Test,PAYME-1613,TC3 [PAYME-1453] Multi-payment,1/2/26,260.58h,0.00h,,,,,0.00h,,0.00h,0.17h,,,,,,1920.57h,
Test,PAYME-1612,TC2 [PAYME-1453] Single payment warnings,1/7/26,187.33h,0.00h,,,,,0.00h,,0.00h,73.28h,119.52h,,,,,1801.22h,
,PAYME-1610,"When file gets rejected, do not call API to update batch and payment file status",3/4/26,168.90h,906.62h,,0.00h,,,0.00h,164.83h,486.88h,0.65h,,,,,,454.45h,0.00h
,PAYME-1609,INPRG vop_status for defective payments never changes in import of payments page,1/8/26,0.03h,164.25h,,18.88h,,,100.78h,85.02h,23.67h,14.87h,,,,,,1775.42h,
,PAYME-1607,Beneficiary name > 70. CMTC message is wrong,1/14/26,0.47h,0.00h,,4.12h,,,0.00h,546.78h,46.87h,25.73h,,0.00h,,,,1634.60h,
Production bug,PAYME-1629,Document number too long,1/21/26,0.35h,4.65h,,,,,0.00h,48.00h,287.68h,50.28h,,,,,,1465.52h,402.53h
Bug Sub-Task,PAYME-1604,Issues with VOP filter in List of Payments,1/7/26,1.15h,0.00h,0.00h,29.10h,,,0.00h,42.72h,473.10h,1.05h,,,,,,1803.32h,
,PAYME-1603,[CORE DB] Decommission PAYMENTS.DP_VOP_ARCH table,,0.20h,0.00h,,,,,551.00h,269.73h,,,1531.25h,,,,,,
,PAYME-1602,Update status report process to use updated API end point,,0.00h,767.45h,,,,,0.00h,73.37h,1077.87h,,,435.70h,,,,,
