Type,Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Selected for Development,In Development,Done,Cancelled
,BWEBDEV-7660,,3d 0h 37m,0d 2h 46m,,0d 2h 46m,5d 15h 41m,,,,31d 9h 55m,
,BWEBDEV-7648,,14d 3h 43m,3d 0h 28m,,2d 23h 28m,0d 19h 52m,0d 0h 0m,,,20d 7h 7m,
,BWEBDEV-7645,,0d 1h 40m,,,2d 22h 4m,4d 1h 24m,,,,34d 6h 4m,
,BWEBDEV-7641,,0d 20h 1m,,,0d 1h 31m,41d 3h 32m,,,,,
,BWEBDEV-7632,,0d 0h 15m,0d 3h 34m,,3d 22h 46m,38d 3h 58m,,,,,
,BWEBDEV-7619,,0d 0h 10m,0d 21h 23m,,3d 2h 37m,8d 5h 46m,1d 17h 42m,,,29d 4h 34m,
,BWEBDEV-7611,,1d 21h 40m,10d 21h 16m,,0d 21h 37m,30d 6h 4m,,,,0d 1h 28m,
,BWEBDEV-7609,,2d 1h 42m,0d 14h 52m,,9d 20h 19m,30d 7h 13m,,,,1d 5h 40m,
,BWEBDEV-7603,,0d 0h 49m,0d 23h 36m,,0d 17h 33m,0d 4h 2m,,,,42d 4h 53m,
,BWEBDEV-7585,,10d 21h 37m,0d 0h 0m,,11d 21h 10m,7d 19h 13m,0d 7h 16m,,,14d 4h 0m,
,BWEBDEV-7584,,2d 23h 25m,7d 17h 39m,,,21d 4h 19m,,,,13d 4h 4m,
,BWEBDEV-7583,,0d 17h 11m,0d 0h 51m,,0d 0h 3m,6d 22h 34m,,,,37d 8h 52m,
,BWEBDEV-7582,,6d 16h 48m,,,0d 4h 57m,15d 1h 16m,,,,23d 2h 37m,
,BWEBDEV-7580,,0d 18h 56m,1d 1h 10m,,0d 21h 25m,1d 0h 21m,,,,41d 8h 49m,
,BWEBDEV-7572,,0d 0h 49m,0d 0h 0m,,0d 0h 7m,0d 1h 30m,,,,45d 2h 5m,
,BWEBDEV-7568,,0d 0h 3m,0d 0h 0m,,0d 0h 10m,1d 1h 34m,,,,44d 4h 0m,
,BWEBDEV-7559,,3d 6h 27m,3d 18h 30m,,0d 2h 36m,10d 0h 49m,0d 21h 25m,,,27d 7h 4m,
,BWEBDEV-7557,,0d 16h 19m,0d 0h 4m,,0d 5h 49m,8d 16h 16m,,,,36d 9h 6m,
,BWEBDEV-7555,,6d 15h 18m,1d 21h 13m,,9d 1h 46m,6d 11h 46m,,,,23d 21h 51m,
,BWEBDEV-7554,,12d 16h 46m,5d 6h 39m,,21d 1h 25m,9d 1h 40m,,,,,
,BWEBDEV-7550,,2d 19h 49m,1d 4h 51m,,0d 1h 48m,0d 16h 49m,,,,43d 8h 32m,
,BWEBDEV-7545,,0d 0h 1m,,,0d 0h 1m,0d 3h 16m,0d 1h 46m,,,48d 2h 10m,
,BWEBDEV-7539,,0d 18h 19m,0d 2h 28m,,0d 2h 10m,2d 17h 15m,,,,45d 8h 52m,
,BWEBDEV-7538,,0d 16h 23m,0d 2h 37m,,0d 1h 18m,9d 20h 46m,,,,38d 8h 27m,
,BWEBDEV-7533,,0d 1h 58m,0d 22h 58m,,2d 17h 54m,2d 0h 0m,,,,43d 7h 39m,
,BWEBDEV-7518,,0d 0h 33m,0d 19h 28m,,7d 0h 43m,5d 2h 49m,,,,36d 4h 25m,
,BWEBDEV-7500,,0d 12h 41m,,,0d 1h 37m,0d 18h 41m,0d 4h 4m,,,48d 8h 49m,
,BWEBDEV-7486,,0d 0h 9m,1d 0h 56m,,3d 20h 1m,1d 23h 21m,,,,43d 9h 15m,
,BWEBDEV-7484,,0d 3h 40m,,,1d 20h 43m,5d 23h 4m,0d 1h 8m,,,42d 5h 47m,
,BWEBDEV-7477,,0d 0h 1m,0d 8h 9m,,0d 20h 25m,0d 19h 3m,,,,48d 8h 30m,
,BWEBDEV-7470,,5d 23h 5m,1d 0h 52m,,27d 3h 1m,3d 4h 52m,3d 15h 55m,,,10d 2h 25m,
,BWEBDEV-7451,,0d 0h 58m,0d 23h 34m,,0d 22h 40m,16d 1h 38m,,,,34d 6h 17m,
,BWEBDEV-7430,,10d 5h 34m,3d 2h 50m,,0d 17h 53m,1d 23h 1m,,,,42d 7h 0m,
,BWEBDEV-7429,,0d 0h 48m,1d 0h 25m,,2d 23h 16m,1d 22h 49m,,,,52d 9h 25m,
,BWEBDEV-7425,,0d 16h 16m,3d 5h 7m,,11d 2h 4m,9d 1h 3m,,,,35d 1h 22m,
,BWEBDEV-7424,,0d 17h 3m,0d 0h 16m,,1d 5h 26m,4d 17h 19m,,,,52d 9h 54m,
,BWEBDEV-7396,,17d 17h 22m,,,0d 6h 12m,3d 1h 20m,,,,45d 2h 28m,
,BWEBDEV-7391,,16d 4h 1m,1d 18h 58m,,17d 1h 43m,18d 1h 56m,,,,13d 4h 7m,
,BWEBDEV-7377,,16d 18h 22m,,,0d 4h 49m,25d 19h 34m,3d 6h 31m,,,23d 1h 25m,
,BWEBDEV-7347,,0d 0h 4m,,,0d 0h 31m,27d 5h 57m,0d 4h 39m,,,42d 21h 5m,
,BWEBDEV-7321,,6d 19h 56m,6d 1h 43m,,1d 0h 34m,9d 6h 10m,,,,49d 0h 34m,
,BWEBDEV-7311,,45d 3h 15m,,,,4d 1h 40m,3d 0h 7m,,,20d 3h 10m,
,BWEBDEV-7308,,20d 23h 6m,,,1d 20h 7m,9d 0h 1m,,,,41d 7h 4m,
,BWEBDEV-7292,,9d 19h 31m,,,14d 22h 0m,21d 8h 10m,,,,30d 0h 28m,
,BWEBDEV-7291,,9d 19h 31m,14d 21h 58m,,,21d 8h 13m,,,,30d 0h 28m,
,BWEBDEV-7290,,9d 19h 31m,14d 23h 58m,,,21d 6h 11m,,,,30d 0h 28m,
,BWEBDEV-7285,,16d 18h 55m,1d 4h 8m,,0d 22h 40m,9d 1h 40m,0d 0h 0m,,,48d 3h 52m,
,BWEBDEV-7270,,6d 15h 22m,0d 0h 51m,,1d 7h 4m,22d 19h 10m,1d 1h 26m,,,45d 6h 45m,
,BWEBDEV-7254,,5d 1h 32m,,,3d 7h 22m,30d 11h 36m,,,,38d 10h 7m,
,BWEBDEV-7244,,0d 1h 4m,5d 20h 50m,,0d 20h 22m,22d 9h 57m,,,,48d 21h 4m,
,BWEBDEV-7242,,29d 3h 28m,,,0d 1h 36m,7d 20h 48m,5d 15h 10m,,,35d 9h 10m,
,BWEBDEV-7237,,5d 18h 18m,0d 0h 31m,,0d 2h 55m,20d 1h 8m,,,,52d 4h 17m,0d 0h 37m
,BWEBDEV-7234,,0d 0h 10m,7d 19h 13m,,0d 2h 30m,33d 3h 34m,0d 23h 4m,,,36d 4h 1m,
