Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-8002,,0d 18h 56m,3d 2h 15m,,0d 2h 0m,0d 2h 42m,,,,17d 1h 10m,
BWEBDEV-8001,,0d 18h 58m,0d 0h 16m,,3d 3h 58m,8d 23h 24m,,,,8d 4h 28m,
BWEBDEV-8000,,0d 19h 55m,0d 1h 31m,,0d 1h 28m,0d 1h 1m,,,,20d 3h 34m,
BWEBDEV-7999,,0d 2h 2m,0d 0h 0m,,0d 0h 58m,0d 19h 30m,,,,20d 5h 7m,
BWEBDEV-7998,,0d 0h 16m,0d 0h 4m,,0d 1h 15m,8d 1h 3m,,,,13d 1h 3m,
BWEBDEV-7997,,0d 23h 55m,3d 18h 30m,,0d 3h 10m,0d 3h 28m,,,,16d 2h 37m,
BWEBDEV-7996,,4d 1h 13m,0d 0h 0m,,1d 21h 37m,2d 0h 52m,,,,13d 4h 1m,
BWEBDEV-7995,,0d 0h 34m,0d 0h 7m,,0d 0h 1m,5d 1h 34m,,,,16d 1h 52m,
BWEBDEV-7994,,0d 2h 13m,0d 1h 10m,,0d 17h 25m,20d 7h 41m,,,,,
BWEBDEV-7993,,0d 20h 40m,0d 2h 2m,,0d 3h 25m,2d 17h 32m,,,,17d 9h 8m,
BWEBDEV-7991,,5d 19h 19m,0d 7h 49m,,6d 0h 5m,8d 0h 11m,,,,1d 1h 52m,
BWEBDEV-7989,,1d 4h 28m,3d 17h 34m,,3d 1h 46m,0d 3h 49m,,,,13d 2h 22m,
BWEBDEV-7988,,0d 1h 25m,0d 0h 4m,,0d 0h 34m,21d 3h 56m,,,,,
BWEBDEV-7986,,0d 8h 49m,0d 0h 0m,,0d 0h 45m,0d 0h 0m,,,,21d 0h 22m,
BWEBDEV-7985,,0d 22h 28m,0d 0h 0m,,0d 0h 36m,0d 15h 49m,,,,20d 8h 22m,
BWEBDEV-7984,,1d 23h 40m,4d 17h 37m,,2d 1h 47m,5d 1h 40m,,,,8d 4h 28m,
BWEBDEV-7983,,0d 16h 28m,0d 4h 52m,,0d 3h 4m,13d 20h 19m,,,,7d 5h 16m,
